city_code,indicator_key,year,value,unit,status,missing_reason,source_url,bulletic_eid
ANHUI_HEFEI,secondary_gdp,2024,,,DATA_MISSING,669fix-b-2024: bulletin 无 secondary_gdp 数据 (parser 未匹配),https://tjgb.hongheiku.com/djs/57806.html,57806
ANHUI_HEFEI,tertiary_gdp,2024,,,DATA_MISSING,669fix-b-2024: bulletin 无 tertiary_gdp 数据 (parser 未匹配),https://tjgb.hongheiku.com/djs/57806.html,57806
ANHUI_HEFEI,gdp_percapita,2024,,,DATA_MISSING,669fix-b-2024: bulletin 无 gdp_percapita 数据 (parser 未匹配),https://tjgb.hongheiku.com/djs/57806.html,57806
ANHUI_HEFEI,fiscal_rev,2024,,,DATA_MISSING,669fix-b-2024: bulletin 无 fiscal_rev 数据 (parser 未匹配),https://tjgb.hongheiku.com/djs/57806.html,57806
ANHUI_HEFEI,fixed_asset,2024,,,DATA_MISSING,669fix-b-2024: bulletin 无 fixed_asset 数据 (parser 未匹配),https://tjgb.hongheiku.com/djs/57806.html,57806
ANHUI_HEFEI,retail,2024,,,DATA_MISSING,669fix-b-2024: bulletin 无 retail 数据 (parser 未匹配),https://tjgb.hongheiku.com/djs/57806.html,57806
ANHUI_HEFEI,trade,2024,,,DATA_MISSING,669fix-b-2024: bulletin 无 trade 数据 (parser 未匹配),https://tjgb.hongheiku.com/djs/57806.html,57806
FUJIAN_FUZHOU,gdp_total,2024,14236.76,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58216.html,58216
FUJIAN_FUZHOU,gdp_growth,2024,6.1,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58216.html,58216
FUJIAN_FUZHOU,primary_gdp,2024,723.23,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58216.html,58216
FUJIAN_FUZHOU,secondary_gdp,2024,5124.34,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58216.html,58216
FUJIAN_FUZHOU,tertiary_gdp,2024,8389.19,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58216.html,58216
FUJIAN_FUZHOU,gdp_percapita,2024,167787,元,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58216.html,58216
FUJIAN_FUZHOU,fiscal_rev,2024,750.50,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58216.html,58216
FUJIAN_FUZHOU,fixed_asset,2024,,,DATA_MISSING,"669fix-b-2024: bulletin 仅发增长%, 无绝对值 (守红线-3, per 669a-2021 §2)",https://tjgb.hongheiku.com/djs/58216.html,58216
FUJIAN_FUZHOU,retail,2024,5633.7,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58216.html,58216
FUJIAN_FUZHOU,trade,2024,3506.9,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58216.html,58216
JIANGXI_NANCHANG,gdp_total,2024,,,DATA_MISSING,"669fix-b-2024: hongheiku tag 页无 2024 bulletin (JIANGXI/YUNNAN/QINGHAI/TAIWAN, 守新增红线-3 不手填)",,
JIANGXI_NANCHANG,gdp_growth,2024,,,DATA_MISSING,"669fix-b-2024: hongheiku tag 页无 2024 bulletin (JIANGXI/YUNNAN/QINGHAI/TAIWAN, 守新增红线-3 不手填)",,
JIANGXI_NANCHANG,primary_gdp,2024,,,DATA_MISSING,"669fix-b-2024: hongheiku tag 页无 2024 bulletin (JIANGXI/YUNNAN/QINGHAI/TAIWAN, 守新增红线-3 不手填)",,
JIANGXI_NANCHANG,secondary_gdp,2024,,,DATA_MISSING,"669fix-b-2024: hongheiku tag 页无 2024 bulletin (JIANGXI/YUNNAN/QINGHAI/TAIWAN, 守新增红线-3 不手填)",,
JIANGXI_NANCHANG,tertiary_gdp,2024,,,DATA_MISSING,"669fix-b-2024: hongheiku tag 页无 2024 bulletin (JIANGXI/YUNNAN/QINGHAI/TAIWAN, 守新增红线-3 不手填)",,
JIANGXI_NANCHANG,gdp_percapita,2024,,,DATA_MISSING,"669fix-b-2024: hongheiku tag 页无 2024 bulletin (JIANGXI/YUNNAN/QINGHAI/TAIWAN, 守新增红线-3 不手填)",,
JIANGXI_NANCHANG,fiscal_rev,2024,,,DATA_MISSING,"669fix-b-2024: hongheiku tag 页无 2024 bulletin (JIANGXI/YUNNAN/QINGHAI/TAIWAN, 守新增红线-3 不手填)",,
JIANGXI_NANCHANG,fixed_asset,2024,,,DATA_MISSING,"669fix-b-2024: hongheiku tag 页无 2024 bulletin (JIANGXI/YUNNAN/QINGHAI/TAIWAN, 守新增红线-3 不手填)",,
JIANGXI_NANCHANG,retail,2024,,,DATA_MISSING,"669fix-b-2024: hongheiku tag 页无 2024 bulletin (JIANGXI/YUNNAN/QINGHAI/TAIWAN, 守新增红线-3 不手填)",,
JIANGXI_NANCHANG,trade,2024,,,DATA_MISSING,"669fix-b-2024: hongheiku tag 页无 2024 bulletin (JIANGXI/YUNNAN/QINGHAI/TAIWAN, 守新增红线-3 不手填)",,
SHANDONG_JINAN,gdp_total,2024,13005.8,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/57483.html,57483
SHANDONG_JINAN,gdp_growth,2024,3.6,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/57483.html,57483
SHANDONG_JINAN,primary_gdp,2024,440.0,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/57483.html,57483
SHANDONG_JINAN,secondary_gdp,2024,4519.2,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/57483.html,57483
SHANDONG_JINAN,tertiary_gdp,2024,8568.4,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/57483.html,57483
SHANDONG_JINAN,gdp_percapita,2024,,,DATA_MISSING,669fix-b-2024: bulletin 无 gdp_percapita 数据 (parser 未匹配),https://tjgb.hongheiku.com/djs/57483.html,57483
SHANDONG_JINAN,fiscal_rev,2024,1083.0,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/57483.html,57483
SHANDONG_JINAN,fixed_asset,2024,,,DATA_MISSING,"669fix-b-2024: bulletin 仅发增长%, 无绝对值 (守红线-3, per 669a-2021 §2)",https://tjgb.hongheiku.com/djs/57483.html,57483
SHANDONG_JINAN,retail,2024,5213.2,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/57483.html,57483
SHANDONG_JINAN,trade,2024,2324.3,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/57483.html,57483
HENAN_ZHENGZHOU,gdp_total,2024,14532.1,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/59120.html,59120
HENAN_ZHENGZHOU,gdp_growth,2024,5.7,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/59120.html,59120
HENAN_ZHENGZHOU,primary_gdp,2024,191.1,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/59120.html,59120
HENAN_ZHENGZHOU,secondary_gdp,2024,5483.1,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/59120.html,59120
HENAN_ZHENGZHOU,tertiary_gdp,2024,8857.8,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/59120.html,59120
HENAN_ZHENGZHOU,gdp_percapita,2024,,,DATA_MISSING,669fix-b-2024: bulletin 无 gdp_percapita 数据 (parser 未匹配),https://tjgb.hongheiku.com/djs/59120.html,59120
HENAN_ZHENGZHOU,fiscal_rev,2024,1155.0,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/59120.html,59120
HENAN_ZHENGZHOU,fixed_asset,2024,,,DATA_MISSING,"669fix-b-2024: bulletin 仅发增长%, 无绝对值 (守红线-3, per 669a-2021 §2)",https://tjgb.hongheiku.com/djs/59120.html,59120
HENAN_ZHENGZHOU,retail,2024,5884.6,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/59120.html,59120
HENAN_ZHENGZHOU,trade,2024,5565.8,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/59120.html,59120
HUBEI_WUHAN,gdp_total,2024,21106.23,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58204.html,58204
HUBEI_WUHAN,gdp_growth,2024,5.2,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58204.html,58204
HUBEI_WUHAN,primary_gdp,2024,506.82,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58204.html,58204
HUBEI_WUHAN,secondary_gdp,2024,6584.45,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58204.html,58204
HUBEI_WUHAN,tertiary_gdp,2024,14014.96,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58204.html,58204
HUBEI_WUHAN,gdp_percapita,2024,153037,元,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58204.html,58204
HUBEI_WUHAN,fiscal_rev,2024,1667.31,亿,HONGHEIKU_TRANSLOAD,,https://tjgb.hongheiku.com/djs/58204.html,58204
HUBEI_WUHAN,fixed_asset,2024,,,DATA_MISSING,"669fix-b-2024: bulletin 仅发增长%, 无绝对值 (守红线-3, per 669a-2021 §2)",https://tjgb.hongheiku.com/djs/58204.html,58204
